Date	x	pourc	y
2020-12-31T12:00:00.000+0000	1609416000000	0	47:86:36
2020-12-30T12:00:00.000+0000	1609329600000	0	47:86:36
2020-12-29T12:00:00.000+0000	1609243200000	0	47:86:36
2020-12-28T12:00:00.000+0000	1609156800000	0	47:86:36
2020-12-27T12:00:00.000+0000	1609070400000	0	47:86:36
2020-12-26T12:00:00.000+0000	1608984000000	0	47:86:36
2020-12-25T12:00:00.000+0000	1608897600000	0	47:86:36
2020-12-24T12:00:00.000+0000	1608811200000	0	47:86:36
2020-12-23T12:00:00.000+0000	1608724800000	0	47:86:36
2020-12-22T12:00:00.000+0000	1608638400000	0	47:86:36
2020-12-21T12:00:00.000+0000	1608552000000	0	47:86:36
2020-12-20T12:00:00.000+0000	1608465600000	0	47:86:36
2020-12-19T12:00:00.000+0000	1608379200000	0	47:86:36
2020-12-18T12:00:00.000+0000	1608292800000	0	47:86:36
2020-12-17T12:00:00.000+0000	1608206400000	0	47:86:36
2020-12-16T12:00:00.000+0000	1608120000000	0	47:86:36
2020-12-15T12:00:00.000+0000	1608033600000	0	47:86:36
2020-12-14T12:00:00.000+0000	1607947200000	0	47:86:36
2020-12-13T12:00:00.000+0000	1607860800000	0	47:86:36
2020-12-12T12:00:00.000+0000	1607774400000	0	47:86:36
2020-12-11T12:00:00.000+0000	1607688000000	0	47:86:36
2020-12-10T12:00:00.000+0000	1607601600000	0	47:86:36
2020-12-09T12:00:00.000+0000	1607515200000	0	47:86:36
2020-12-08T12:00:00.000+0000	1607428800000	0	47:86:36
2020-12-07T12:00:00.000+0000	1607342400000	0	47:86:36
2020-12-06T12:00:00.000+0000	1607256000000	0	47:86:36
2020-12-05T12:00:00.000+0000	1607169600000	0	47:86:36
2020-12-04T12:00:00.000+0000	1607083200000	0	47:86:36
2020-12-03T12:00:00.000+0000	1606996800000	0	47:86:36
2020-12-02T12:00:00.000+0000	1606910400000	0	47:86:36
2020-12-01T12:00:00.000+0000	1606824000000	0	47:86:36
2020-11-30T12:00:00.000+0000	1606737600000	0	47:86:36
2020-11-29T12:00:00.000+0000	1606651200000	0	47:86:36
2020-11-28T12:00:00.000+0000	1606564800000	0	47:86:36
2020-11-27T12:00:00.000+0000	1606478400000	0	47:86:36
2020-11-26T12:00:00.000+0000	1606392000000	0	47:86:36
2020-11-25T12:00:00.000+0000	1606305600000	0	47:86:36
2020-11-24T12:00:00.000+0000	1606219200000	0	47:86:36
2020-11-23T12:00:00.000+0000	1606132800000	0	47:86:36
2020-11-22T12:00:00.000+0000	1606046400000	0	47:86:36
2020-11-21T12:00:00.000+0000	1605960000000	0	47:86:36
2020-11-20T12:00:00.000+0000	1605873600000	0	47:86:36
2020-11-19T12:00:00.000+0000	1605787200000	0	47:86:36
2020-11-18T12:00:00.000+0000	1605700800000	0	47:86:36
2020-11-17T12:00:00.000+0000	1605614400000	0	47:86:36
2020-11-16T12:00:00.000+0000	1605528000000	0	47:86:36
2020-11-15T12:00:00.000+0000	1605441600000	0	47:86:36
2020-11-14T12:00:00.000+0000	1605355200000	0	47:86:36
2020-11-13T12:00:00.000+0000	1605268800000	0	47:86:36
2020-11-12T12:00:00.000+0000	1605182400000	0	47:86:36
2020-11-11T12:00:00.000+0000	1605096000000	0	47:86:36
2020-11-10T12:00:00.000+0000	1605009600000	0.001	47:86:36
2020-11-09T12:00:00.000+0000	1604923200000	0.001	47:86:36
2020-11-08T12:00:00.000+0000	1604836800000	0.001	47:86:36
2020-11-07T12:00:00.000+0000	1604750400000	0.002	47:86:36
2020-11-06T12:00:00.000+0000	1604664000000	0.003	47:86:36
2020-11-05T12:00:00.000+0000	1604577600000	0.004	47:86:36
2020-11-04T12:00:00.000+0000	1604491200000	0.006	47:86:36
2020-11-03T12:00:00.000+0000	1604404800000	0.008	47:86:36
2020-11-02T12:00:00.000+0000	1604318400000	0.012	47:86:36
2020-11-01T12:00:00.000+0000	1604232000000	0.018	47:86:36
2020-10-17T12:00:00.000+0000	1602936000000	0.026	47:86:41
2020-10-16T12:00:00.000+0000	1602849600000	0.038	47:86:41
2020-10-15T12:00:00.000+0000	1602763200000	0.056	47:86:41
2020-10-14T12:00:00.000+0000	1602676800000	0.082	47:86:41
2020-10-13T12:00:00.000+0000	1602590400000	0.12	47:86:41
2020-10-12T12:00:00.000+0000	1602504000000	0.177	47:86:41
2020-10-11T12:00:00.000+0000	1602417600000	0.257	47:86:41
2020-10-10T12:00:00.000+0000	1602331200000	0.374	47:86:41
2020-10-09T12:00:00.000+0000	1602244800000	0.59	47:86:41
2020-10-08T12:00:00.000+0000	1602158400000	0.682	47:86:41
2020-10-07T12:00:00.000+0000	1602072000000	1.376	47:86:41
2020-10-06T12:00:00.000+0000	1601985600000	2.692	47:86:41
2020-10-05T12:00:00.000+0000	1601899200000	5.014	47:86:41
2020-10-04T12:00:00.000+0000	1601812800000	8.192	47:86:41
2020-10-03T12:00:00.000+0000	1601726400000	11.298	47:86:41
2020-10-02T12:00:00.000+0000	1601640000000	13.488	47:86:41
2020-10-01T12:00:00.000+0000	1601553600000	14.812	47:86:41
2020-09-30T12:00:00.000+0000	1601467200000	15.956	47:86:41
2020-09-29T12:00:00.000+0000	1601380800000	16.626	47:86:41
2020-09-28T12:00:00.000+0000	1601294400000	17.681	47:86:41
2020-09-27T12:00:00.000+0000	1601208000000	18.825	47:86:41
2020-09-26T12:00:00.000+0000	1601121600000	20.773	47:86:41
2020-09-25T12:00:00.000+0000	1601035200000	22.024	47:86:41
2020-09-24T12:00:00.000+0000	1600948800000	23.217	47:86:41
2020-09-23T12:00:00.000+0000	1600862400000	24.826	47:86:41
2020-09-22T12:00:00.000+0000	1600776000000	27.631	47:86:41
2020-09-21T12:00:00.000+0000	1600689600000	30.999	47:86:41
2020-09-20T12:00:00.000+0000	1600603200000	34.754	47:86:41
2020-09-19T12:00:00.000+0000	1600516800000	37.842	47:86:41
2020-09-18T12:00:00.000+0000	1600430400000	40.265	47:86:41
2020-09-17T12:00:00.000+0000	1600344000000	42.484	47:86:41
2020-09-16T12:00:00.000+0000	1600257600000	44.816	47:86:41
2020-09-15T12:00:00.000+0000	1600171200000	46.851	47:86:41
2020-09-14T12:00:00.000+0000	1600084800000	49.304	47:86:41
2020-09-13T12:00:00.000+0000	1599998400000	51.443	47:86:41
2020-09-12T12:00:00.000+0000	1599912000000	53.399	47:86:41
2020-09-11T12:00:00.000+0000	1599825600000	53.911	47:86:41
2020-09-10T12:00:00.000+0000	1599739200000	54.023	47:86:41
2020-09-09T12:00:00.000+0000	1599652800000	54.018	47:86:41
2020-09-08T12:00:00.000+0000	1599566400000	54.527	47:86:41
2020-09-07T12:00:00.000+0000	1599480000000	55.04	47:86:41
2020-09-06T12:00:00.000+0000	1599393600000	56.078	47:86:41
2020-09-05T12:00:00.000+0000	1599307200000	57.01	47:86:41
2020-09-04T12:00:00.000+0000	1599220800000	57.902	47:86:41
2020-09-03T12:00:00.000+0000	1599134400000	58.359	47:86:41
2020-09-02T12:00:00.000+0000	1599048000000	59.076	47:86:41
2020-09-01T12:00:00.000+0000	1598961600000	59.528	47:86:41
2020-08-31T12:00:00.000+0000	1598875200000	60.112	47:86:41
2020-08-30T12:00:00.000+0000	1598788800000	60.795	47:86:41
2020-08-29T12:00:00.000+0000	1598702400000	61.718	47:86:41
2020-08-28T12:00:00.000+0000	1598616000000	62.656	47:86:41
2020-08-27T12:00:00.000+0000	1598529600000	63.234	47:86:41
2020-08-26T12:00:00.000+0000	1598443200000	64	47:86:41
2020-08-25T12:00:00.000+0000	1598356800000	64.782	47:86:41
2020-08-24T12:00:00.000+0000	1598270400000	66.125	47:86:41
2020-08-23T12:00:00.000+0000	1598184000000	66.99	47:86:41
2020-08-22T12:00:00.000+0000	1598097600000	67.439	47:86:41
2020-08-21T12:00:00.000+0000	1598011200000	67.388	47:86:41
2020-08-20T12:00:00.000+0000	1597924800000	67.261	47:86:41
2020-08-19T12:00:00.000+0000	1597838400000	67.871	47:86:41
2020-08-18T12:00:00.000+0000	1597752000000	69.265	47:86:41
2020-08-17T12:00:00.000+0000	1597665600000	70.381	47:86:41
2020-08-16T12:00:00.000+0000	1597579200000	70.744	47:86:41
2020-08-15T12:00:00.000+0000	1597492800000	69.347	47:86:41
2020-08-14T12:00:00.000+0000	1597406400000	67.926	47:86:41
2020-08-13T12:00:00.000+0000	1597320000000	64.087	47:86:41
2020-08-12T12:00:00.000+0000	1597233600000	60.661	47:86:41
2020-08-11T12:00:00.000+0000	1597147200000	57.708	47:86:41
2020-08-10T12:00:00.000+0000	1597060800000	55.561	47:86:41
2020-08-09T12:00:00.000+0000	1596974400000	53.703	47:86:41
2020-08-08T12:00:00.000+0000	1596888000000	52.389	47:86:41
2020-08-07T12:00:00.000+0000	1596801600000	51.517	47:86:41
2020-08-06T12:00:00.000+0000	1596715200000	52.29	47:86:41
2020-08-05T12:00:00.000+0000	1596628800000	51.184	47:86:41
2020-08-04T12:00:00.000+0000	1596542400000	51.335	47:86:41
2020-08-03T12:00:00.000+0000	1596456000000	51.263	47:86:41
2020-08-02T12:00:00.000+0000	1596369600000	50.163	47:86:41
2020-08-01T12:00:00.000+0000	1596283200000	48.998	47:86:41
2020-07-31T12:00:00.000+0000	1596196800000	49.193	47:86:41
2020-07-30T12:00:00.000+0000	1596110400000	48.561	47:86:41
2020-07-29T12:00:00.000+0000	1596024000000	49.777	47:86:41
2020-07-28T12:00:00.000+0000	1595937600000	51.272	47:86:41
2020-07-27T12:00:00.000+0000	1595851200000	53.573	47:86:41
2020-07-26T12:00:00.000+0000	1595764800000	56.176	47:86:41
2020-07-25T12:00:00.000+0000	1595678400000	59.013	47:86:41
2020-07-24T12:00:00.000+0000	1595592000000	61.473	47:86:41
2020-07-23T12:00:00.000+0000	1595505600000	63.04	47:86:41
2020-07-22T12:00:00.000+0000	1595419200000	62.388	47:86:41
2020-07-21T12:00:00.000+0000	1595332800000	63.752	47:86:41
2020-07-20T12:00:00.000+0000	1595246400000	65.588	47:86:41
2020-07-19T12:00:00.000+0000	1595160000000	66.874	47:86:41
2020-07-18T12:00:00.000+0000	1595073600000	69.106	47:86:41
2020-07-17T12:00:00.000+0000	1594987200000	71.194	47:86:41
2020-07-16T12:00:00.000+0000	1594900800000	73.231	47:86:41
2020-07-15T12:00:00.000+0000	1594814400000	75.134	47:86:41
2020-07-14T12:00:00.000+0000	1594728000000	76.685	47:86:41
2020-07-13T12:00:00.000+0000	1594641600000	78.006	47:86:41
2020-07-12T12:00:00.000+0000	1594555200000	79.157	47:86:41
2020-07-11T12:00:00.000+0000	1594468800000	80.036	47:86:41
2020-07-10T12:00:00.000+0000	1594382400000	80.085	47:86:41
2020-07-09T12:00:00.000+0000	1594296000000	79.639	47:86:41
2020-07-08T12:00:00.000+0000	1594209600000	79.513	47:86:41
2020-07-07T12:00:00.000+0000	1594123200000	79.631	47:86:41
2020-07-06T12:00:00.000+0000	1594036800000	80.093	47:86:41
2020-07-05T12:00:00.000+0000	1593950400000	80.666	47:86:41
2020-07-04T12:00:00.000+0000	1593864000000	81.81	47:86:41
2020-07-03T12:00:00.000+0000	1593777600000	83.156	47:86:41
2020-07-02T12:00:00.000+0000	1593691200000	85.071	47:86:41
2020-07-01T12:00:00.000+0000	1593604800000	87.274	47:86:41
2020-06-30T12:00:00.000+0000	1593518400000	89.302	47:86:41
2020-06-29T12:00:00.000+0000	1593432000000	91.094	47:86:41
2020-06-28T12:00:00.000+0000	1593345600000	92.885	47:86:41
2020-06-27T12:00:00.000+0000	1593259200000	94.133	47:86:41
2020-06-26T12:00:00.000+0000	1593172800000	94.842	47:86:41
2020-06-25T12:00:00.000+0000	1593086400000	95	47:86:41
2020-06-24T12:00:00.000+0000	1593000000000	95	47:86:41
2020-06-23T12:00:00.000+0000	1592913600000	95	47:86:41
2020-06-22T12:00:00.000+0000	1592827200000	94.879	47:86:41
2020-06-21T12:00:00.000+0000	1592740800000	94.614	47:86:41
2020-06-20T12:00:00.000+0000	1592654400000	94.39	47:86:41
2020-06-19T12:00:00.000+0000	1592568000000	94.095	47:86:41
2020-06-18T12:00:00.000+0000	1592481600000	93.477	47:86:41
2020-06-17T12:00:00.000+0000	1592395200000	92.699	47:86:41
2020-06-16T12:00:00.000+0000	1592308800000	92.038	47:86:41
2020-06-15T12:00:00.000+0000	1592222400000	91.547	47:86:41
2020-06-14T12:00:00.000+0000	1592136000000	91.246	47:86:41
2020-06-13T12:00:00.000+0000	1592049600000	90.831	47:86:41
2020-06-12T12:00:00.000+0000	1591963200000	90.647	47:86:41
2020-06-11T12:00:00.000+0000	1591876800000	90.68	47:86:41
2020-06-10T12:00:00.000+0000	1591790400000	90.847	47:86:41
2020-06-09T12:00:00.000+0000	1591704000000	91.246	47:86:41
2020-06-08T12:00:00.000+0000	1591617600000	91.87	47:86:41
2020-06-07T12:00:00.000+0000	1591531200000	92.366	47:86:41
2020-06-06T12:00:00.000+0000	1591444800000	92.842	47:86:41
2020-06-05T12:00:00.000+0000	1591358400000	93.273	47:86:41
2020-06-04T12:00:00.000+0000	1591272000000	93.475	47:86:41
2020-06-03T12:00:00.000+0000	1591185600000	93.754	47:86:41
2020-06-02T12:00:00.000+0000	1591099200000	94.15	47:86:41
2020-06-01T12:00:00.000+0000	1591012800000	94.493	47:86:41
2020-05-31T12:00:00.000+0000	1590926400000	94.676	42:15:83
2020-05-30T12:00:00.000+0000	1590840000000	94.589	42:15:83
2020-05-29T12:00:00.000+0000	1590753600000	94.73	42:15:83
2020-05-28T12:00:00.000+0000	1590667200000	94.549	42:15:83
2020-05-27T12:00:00.000+0000	1590580800000	94.32	42:15:83
2020-05-26T12:00:00.000+0000	1590494400000	94.21	42:15:83
2020-05-25T12:00:00.000+0000	1590408000000	94.156	42:15:83
2020-05-24T12:00:00.000+0000	1590321600000	94.008	42:15:83
2020-05-23T12:00:00.000+0000	1590235200000	94.015	42:15:83
2020-05-22T12:00:00.000+0000	1590148800000	94.07	42:15:83
2020-05-21T12:00:00.000+0000	1590062400000	94.118	42:15:83
2020-05-20T12:00:00.000+0000	1589976000000	94.115	42:15:83
2020-05-19T12:00:00.000+0000	1589889600000	94.056	42:15:83
2020-05-18T12:00:00.000+0000	1589803200000	93.979	42:15:83
2020-05-17T12:00:00.000+0000	1589716800000	93.829	42:15:83
2020-05-16T12:00:00.000+0000	1589630400000	93.719	42:15:83
2020-05-15T12:00:00.000+0000	1589544000000	93.661	42:15:83
2020-05-14T12:00:00.000+0000	1589457600000	93.429	42:15:83
2020-05-13T12:00:00.000+0000	1589371200000	93.359	42:15:83
2020-05-12T12:00:00.000+0000	1589284800000	93.329	42:15:83
2020-05-11T12:00:00.000+0000	1589198400000	93.206	42:15:83
2020-05-10T12:00:00.000+0000	1589112000000	92.78	42:15:83
2020-05-09T12:00:00.000+0000	1589025600000	92.095	42:15:83
2020-05-08T12:00:00.000+0000	1588939200000	91.517	42:15:83
2020-05-07T12:00:00.000+0000	1588852800000	90.851	42:15:83
2020-05-06T12:00:00.000+0000	1588766400000	90.277	42:15:83
2020-05-05T12:00:00.000+0000	1588680000000	89.805	42:15:83
2020-05-04T12:00:00.000+0000	1588593600000	89.644	42:15:83
2020-05-03T12:00:00.000+0000	1588507200000	89.799	42:15:83
2020-05-02T12:00:00.000+0000	1588420800000	90.274	42:15:83
2020-05-01T12:00:00.000+0000	1588334400000	91.022	42:15:83
2020-04-30T12:00:00.000+0000	1588248000000	91.909	42:15:83
2020-04-29T12:00:00.000+0000	1588161600000	92.895	42:15:83
2020-04-28T12:00:00.000+0000	1588075200000	93.519	42:15:83
2020-04-27T12:00:00.000+0000	1587988800000	93.624	42:15:83
2020-04-26T12:00:00.000+0000	1587902400000	93.307	42:15:83
2020-04-25T12:00:00.000+0000	1587816000000	92.906	42:15:83
2020-04-24T12:00:00.000+0000	1587729600000	92.639	42:15:83
2020-04-23T12:00:00.000+0000	1587643200000	91.311	42:15:83
2020-04-22T12:00:00.000+0000	1587556800000	89.46	42:15:83
2020-04-21T12:00:00.000+0000	1587470400000	87.251	42:15:83
2020-04-20T12:00:00.000+0000	1587384000000	84.679	42:15:83
2020-04-19T12:00:00.000+0000	1587297600000	82.04	42:15:83
2020-04-18T12:00:00.000+0000	1587211200000	79.314	42:15:83
2020-04-17T12:00:00.000+0000	1587124800000	76.789	42:15:83
2020-04-16T12:00:00.000+0000	1587038400000	74.206	42:15:83
2020-04-15T12:00:00.000+0000	1586952000000	71.849	42:15:83
2020-04-14T12:00:00.000+0000	1586865600000	69.258	42:15:83
2020-04-13T12:00:00.000+0000	1586779200000	67.002	42:15:83
2020-04-12T12:00:00.000+0000	1586692800000	65.113	42:15:83
2020-04-11T12:00:00.000+0000	1586606400000	63.691	42:15:83
2020-04-10T12:00:00.000+0000	1586520000000	61.962	42:15:83
2020-04-09T12:00:00.000+0000	1586433600000	59.252	42:15:83
2020-04-08T12:00:00.000+0000	1586347200000	56.607	42:15:83
2020-04-07T12:00:00.000+0000	1586260800000	53.904	42:15:83
2020-04-06T12:00:00.000+0000	1586174400000	51.419	42:15:83
2020-04-05T12:00:00.000+0000	1586088000000	49.681	42:15:83
2020-04-04T12:00:00.000+0000	1586001600000	48.154	42:15:83
2020-04-03T12:00:00.000+0000	1585915200000	46.604	42:15:83
2020-04-02T12:00:00.000+0000	1585828800000	45.237	42:15:83
2020-04-01T12:00:00.000+0000	1585742400000	44.223	42:15:83
2020-03-31T12:00:00.000+0000	1585656000000	43.279	42:15:83
2020-03-30T12:00:00.000+0000	1585569600000	42.623	42:15:83
2020-03-29T12:00:00.000+0000	1585483200000	42.398	42:15:83
2020-03-28T12:00:00.000+0000	1585396800000	42.177	42:15:83
2020-03-27T12:00:00.000+0000	1585310400000	41.26	42:15:83
2020-03-26T12:00:00.000+0000	1585224000000	39.788	42:15:83
2020-03-25T12:00:00.000+0000	1585137600000	37.736	42:15:83
2020-03-24T12:00:00.000+0000	1585051200000	35.425	42:15:83
2020-03-23T12:00:00.000+0000	1584964800000	34.25	42:15:83
2020-03-22T12:00:00.000+0000	1584878400000	33.903	42:15:83
2020-03-21T12:00:00.000+0000	1584792000000	33.007	42:15:83
2020-03-20T12:00:00.000+0000	1584705600000	32.138	42:15:83
2020-03-19T12:00:00.000+0000	1584619200000	32.898	42:15:83
2020-03-18T12:00:00.000+0000	1584532800000	34.433	42:15:83
2020-03-17T12:00:00.000+0000	1584446400000	36.144	42:15:83
2020-03-16T12:00:00.000+0000	1584360000000	38.056	42:15:83
2020-03-15T12:00:00.000+0000	1584273600000	40.728	42:15:83
2020-03-14T12:00:00.000+0000	1584187200000	43.096	42:15:83
2020-03-13T12:00:00.000+0000	1584100800000	45.116	42:15:83
2020-03-12T12:00:00.000+0000	1584014400000	46.53	42:15:83
2020-03-11T12:00:00.000+0000	1583928000000	47.146	42:15:83
2020-03-10T12:00:00.000+0000	1583841600000	47.652	42:15:83
2020-03-09T12:00:00.000+0000	1583755200000	48.359	42:15:83
2020-03-08T12:00:00.000+0000	1583668800000	48.624	42:15:83
2020-03-07T12:00:00.000+0000	1583582400000	47.776	42:15:83
2020-03-06T12:00:00.000+0000	1583496000000	47.195	42:15:83
2020-03-05T12:00:00.000+0000	1583409600000	46.788	42:15:83
2020-03-04T12:00:00.000+0000	1583323200000	46.022	42:15:83
2020-03-03T12:00:00.000+0000	1583236800000	44.911	42:15:83
2020-03-02T12:00:00.000+0000	1583150400000	43.965	42:15:83
2020-03-01T12:00:00.000+0000	1583064000000	43.106	42:15:83
2020-02-29T12:00:00.000+0000	1582977600000	41.752	42:15:83
2020-02-28T12:00:00.000+0000	1582891200000	40.556	42:15:83
2020-02-27T12:00:00.000+0000	1582804800000	39.45	42:15:83
2020-02-26T12:00:00.000+0000	1582718400000	38.452	42:15:83
2020-02-25T12:00:00.000+0000	1582632000000	37.995	42:15:83
2020-02-24T12:00:00.000+0000	1582545600000	37.91	42:15:83
2020-02-23T12:00:00.000+0000	1582459200000	38.633	42:15:83
2020-02-22T12:00:00.000+0000	1582372800000	40.032	42:15:83
2020-02-21T12:00:00.000+0000	1582286400000	41.126	42:15:83
2020-02-20T12:00:00.000+0000	1582200000000	41.695	42:15:83
2020-02-19T12:00:00.000+0000	1582113600000	42.444	42:15:83
2020-02-18T12:00:00.000+0000	1582027200000	42.837	42:15:83
2020-02-17T12:00:00.000+0000	1581940800000	43.175	42:15:83
