_id,_class,_origin,date,main.humidity,main.temp,main.pressure,rain.1h,snow.1h,weather.main,weather.icon,wind.speed,apiaryName,apiaryId
5e73ba81dc300568294d9be7,<class 'fun4hourlyCurrentWeather.CurrentHourlyWeather'>,OpenWeatherMap,2020-03-19T17:31:29.000Z,67,17.64,1017,,0,Rain,10n,2.6,Gelos,UjpRybCZ2IXFOf8hx4dJGo9PnH0Qs5Bc
5e73c88cdc3005694565ef6e,<class 'fun4hourlyCurrentWeather.CurrentHourlyWeather'>,OpenWeatherMap,2020-03-19T18:30:17.000Z,72,15.8,1017,0,0,Clear,01n,1.5,Gelos,UjpRybCZ2IXFOf8hx4dJGo9PnH0Qs5Bc
5e73d6a2dc30056a52a0d8bc,<class 'fun4hourlyCurrentWeather.CurrentHourlyWeather'>,OpenWeatherMap,2020-03-19T19:31:30.000Z,76,13.85,1017,0,0,Clouds,03n,0.5,Gelos,UjpRybCZ2IXFOf8hx4dJGo9PnH0Qs5Bc
5e73e4a3dc30056bfa86dadf,<class 'fun4hourlyCurrentWeather.CurrentHourlyWeather'>,OpenWeatherMap,2020-03-19T20:30:14.000Z,87,12.8,1017,0,0,Clouds,03n,0.5,Gelos,UjpRybCZ2IXFOf8hx4dJGo9PnH0Qs5Bc
5e73f2c0dc30056d17bb47bc,<class 'fun4hourlyCurrentWeather.CurrentHourlyWeather'>,OpenWeatherMap,2020-03-19T21:31:28.000Z,87,11.75,1017,0,0,Clouds,02n,1.5,Gelos,UjpRybCZ2IXFOf8hx4dJGo9PnH0Qs5Bc
5e7400c4dc30056e0992457a,<class 'fun4hourlyCurrentWeather.CurrentHourlyWeather'>,OpenWeatherMap,2020-03-19T22:31:16.000Z,93,10.84,1017,0,0,Clouds,02n,1.5,Gelos,UjpRybCZ2IXFOf8hx4dJGo9PnH0Qs5Bc
5e740ed5dc30056f5fc21911,<class 'fun4hourlyCurrentWeather.CurrentHourlyWeather'>,OpenWeatherMap,2020-03-19T23:31:16.000Z,87,10.84,1016,0,0,Clouds,02n,0.93,Gelos,UjpRybCZ2IXFOf8hx4dJGo9PnH0Qs5Bc
5e741dd1dc300570588cf7e8,<class 'fun4hourlyCurrentWeather.CurrentHourlyWeather'>,OpenWeatherMap,2020-03-20T00:35:13.000Z,93,9.96,1016,0,0,Clear,01n,0.5,Gelos,UjpRybCZ2IXFOf8hx4dJGo9PnH0Qs5Bc
5e742af2dc30057186b29462,<class 'fun4hourlyCurrentWeather.CurrentHourlyWeather'>,OpenWeatherMap,2020-03-20T01:31:14.000Z,93,9.55,1016,0,0,Clear,01n,1,Gelos,UjpRybCZ2IXFOf8hx4dJGo9PnH0Qs5Bc
5e7438f9dc3005728085ba21,<class 'fun4hourlyCurrentWeather.CurrentHourlyWeather'>,OpenWeatherMap,2020-03-20T02:31:05.000Z,93,9.21,1015,0,0,Clear,01n,1,Gelos,UjpRybCZ2IXFOf8hx4dJGo9PnH0Qs5Bc
5e74470ddc3005736901578b,<class 'fun4hourlyCurrentWeather.CurrentHourlyWeather'>,OpenWeatherMap,2020-03-20T03:30:15.000Z,100,8.53,1015,0,0,Clear,01n,1,Gelos,UjpRybCZ2IXFOf8hx4dJGo9PnH0Qs5Bc
5e74549ddc3005758ead19e8,<class 'fun4hourlyCurrentWeather.CurrentHourlyWeather'>,OpenWeatherMap,2020-03-20T04:29:01.000Z,93,7.9,1015,0,0,Clear,01n,1,Gelos,UjpRybCZ2IXFOf8hx4dJGo9PnH0Qs5Bc
5e746346dc3005771e63bf60,<class 'fun4hourlyCurrentWeather.CurrentHourlyWeather'>,OpenWeatherMap,2020-03-20T05:31:34.000Z,100,7.55,1015,0,0,Clear,01d,1.5,Gelos,UjpRybCZ2IXFOf8hx4dJGo9PnH0Qs5Bc
5e747149dc30057877ec6b48,<class 'fun4hourlyCurrentWeather.CurrentHourlyWeather'>,OpenWeatherMap,2020-03-20T06:31:21.000Z,93,9.25,1016,0,0,Clouds,04d,1.5,Gelos,UjpRybCZ2IXFOf8hx4dJGo9PnH0Qs5Bc
5e747f44dc30057b178227f2,<class 'fun4hourlyCurrentWeather.CurrentHourlyWeather'>,OpenWeatherMap,2020-03-20T07:30:15.000Z,82,12.68,1016,0,0,Clouds,04d,2.1,Gelos,UjpRybCZ2IXFOf8hx4dJGo9PnH0Qs5Bc
5e748d6bdc30057cc51dba8a,<class 'fun4hourlyCurrentWeather.CurrentHourlyWeather'>,OpenWeatherMap,2020-03-20T08:30:15.000Z,67,15.71,1016,0,0,Clouds,04d,0.5,Gelos,UjpRybCZ2IXFOf8hx4dJGo9PnH0Qs5Bc
5e749b7edc30057e226dd6d7,<class 'fun4hourlyCurrentWeather.CurrentHourlyWeather'>,OpenWeatherMap,2020-03-20T09:31:26.000Z,59,16.91,1016,0,0,Clouds,03d,1,Gelos,UjpRybCZ2IXFOf8hx4dJGo9PnH0Qs5Bc
5e74a993dc30057f4776f462,<class 'fun4hourlyCurrentWeather.CurrentHourlyWeather'>,OpenWeatherMap,2020-03-20T10:31:31.000Z,55,18.44,1016,0,0,Clouds,03d,2.1,Gelos,UjpRybCZ2IXFOf8hx4dJGo9PnH0Qs5Bc
5e74b740dc300501f02d9cef,<class 'fun4hourlyCurrentWeather.CurrentHourlyWeather'>,OpenWeatherMap,2020-03-20T11:29:52.000Z,55,19.14,1015,0,0,Clouds,03d,3.1,Gelos,UjpRybCZ2IXFOf8hx4dJGo9PnH0Qs5Bc
5e74c5a0dc300503648eb227,<class 'fun4hourlyCurrentWeather.CurrentHourlyWeather'>,OpenWeatherMap,2020-03-20T12:31:12.000Z,52,19.96,1015,0,0,Clouds,04d,3.1,Gelos,UjpRybCZ2IXFOf8hx4dJGo9PnH0Qs5Bc
5e74d3c0dc300505318eb305,<class 'fun4hourlyCurrentWeather.CurrentHourlyWeather'>,OpenWeatherMap,2020-03-20T13:31:28.000Z,52,20.37,1015,0,0,Clouds,04d,3.6,Gelos,UjpRybCZ2IXFOf8hx4dJGo9PnH0Qs5Bc
5e74e1cfdc3005069f1fe6ad,<class 'fun4hourlyCurrentWeather.CurrentHourlyWeather'>,OpenWeatherMap,2020-03-20T14:31:27.000Z,49,20.23,1014,0,0,Clouds,04d,3.6,Gelos,UjpRybCZ2IXFOf8hx4dJGo9PnH0Qs5Bc
5e74efdadc300507b2aec297,<class 'fun4hourlyCurrentWeather.CurrentHourlyWeather'>,OpenWeatherMap,2020-03-20T15:26:46.000Z,49,20.33,1014,0,0,Clouds,04d,3.1,Gelos,UjpRybCZ2IXFOf8hx4dJGo9PnH0Qs5Bc
5e74fdf3dc300508ef49acab,<class 'fun4hourlyCurrentWeather.CurrentHourlyWeather'>,OpenWeatherMap,2020-03-20T16:30:16.000Z,55,19.1,1014,0,0,Clouds,04d,2.6,Gelos,UjpRybCZ2IXFOf8hx4dJGo9PnH0Qs5Bc
5e750bffdc30050a4bef1e16,<class 'fun4hourlyCurrentWeather.CurrentHourlyWeather'>,OpenWeatherMap,2020-03-20T17:31:27.000Z,55,17.43,1014,0,0,Clouds,04n,2.1,Gelos,UjpRybCZ2IXFOf8hx4dJGo9PnH0Qs5Bc
5e751a16dc30050b8bab13c4,<class 'fun4hourlyCurrentWeather.CurrentHourlyWeather'>,OpenWeatherMap,2020-03-20T18:31:34.000Z,67,15.09,1014,0,0,Clouds,04n,1.5,Gelos,UjpRybCZ2IXFOf8hx4dJGo9PnH0Qs5Bc
5e752830dc30050d04b448b0,<class 'fun4hourlyCurrentWeather.CurrentHourlyWeather'>,OpenWeatherMap,2020-03-20T19:30:15.000Z,71,13.56,1014,0,0,Clouds,04n,1.5,Gelos,UjpRybCZ2IXFOf8hx4dJGo9PnH0Qs5Bc
5e753633dc30050e34b586dd,<class 'fun4hourlyCurrentWeather.CurrentHourlyWeather'>,OpenWeatherMap,2020-03-20T20:31:31.000Z,67,13.19,1014,0,0,Clouds,04n,2.1,Gelos,UjpRybCZ2IXFOf8hx4dJGo9PnH0Qs5Bc
5e75443fdc30050fdb76168e,<class 'fun4hourlyCurrentWeather.CurrentHourlyWeather'>,OpenWeatherMap,2020-03-20T21:31:27.000Z,71,11.99,1014,0,0,Clouds,04n,2.1,Gelos,UjpRybCZ2IXFOf8hx4dJGo9PnH0Qs5Bc
5e755259dc300510d0e8f95a,<class 'fun4hourlyCurrentWeather.CurrentHourlyWeather'>,OpenWeatherMap,2020-03-20T22:31:37.000Z,76,10.87,1014,0,0,Clouds,04n,0.5,Gelos,UjpRybCZ2IXFOf8hx4dJGo9PnH0Qs5Bc
5e756063dc30051256eb6f85,<class 'fun4hourlyCurrentWeather.CurrentHourlyWeather'>,OpenWeatherMap,2020-03-20T23:31:31.000Z,81,9.85,1014,0,0,Clouds,04n,1,Gelos,UjpRybCZ2IXFOf8hx4dJGo9PnH0Qs5Bc
5e756fbfdc300513a4c19815,<class 'fun4hourlyCurrentWeather.CurrentHourlyWeather'>,OpenWeatherMap,2020-03-21T00:37:03.000Z,87,9.33,1014,0,0,Clouds,04n,1,Gelos,UjpRybCZ2IXFOf8hx4dJGo9PnH0Qs5Bc
5e757c72dc300514ac58cc17,<class 'fun4hourlyCurrentWeather.CurrentHourlyWeather'>,OpenWeatherMap,2020-03-21T01:31:14.000Z,93,8.69,1013,0,0,Clouds,04n,1.5,Gelos,UjpRybCZ2IXFOf8hx4dJGo9PnH0Qs5Bc
5e758a80dc300515a38a5f16,<class 'fun4hourlyCurrentWeather.CurrentHourlyWeather'>,OpenWeatherMap,2020-03-21T02:31:12.000Z,100,8.22,1013,0,0,Clouds,04n,1.5,Gelos,UjpRybCZ2IXFOf8hx4dJGo9PnH0Qs5Bc
5e75988ddc300516931aeab5,<class 'fun4hourlyCurrentWeather.CurrentHourlyWeather'>,OpenWeatherMap,2020-03-21T03:31:09.000Z,93,7.88,1012,0,0,Clouds,03n,1.5,Gelos,UjpRybCZ2IXFOf8hx4dJGo9PnH0Qs5Bc
